nodename,batch,solution,version,git,task,data,timestamp,action,stderr,ret
mr-0xc11,1543942552,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e2_0_0,1543942646.64142,start,,
mr-0xc11,1543942552,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e2_0_0,1543942654.25252,finish,0,
mr-0xc11,1543942552,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e1_0_0,1543942654.27739,start,,
mr-0xc11,1543942552,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e1_0_0,1543942664.70848,finish,0,
mr-0xc11,1543942552,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_2e0_0_0,1543942664.72706,start,,
mr-0xc11,1543942552,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_2e0_0_0,1543942683.28673,finish,0,
mr-0xc11,1543942552,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e2_0_1,1543942683.30039,start,,
mr-0xc11,1543942552,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e2_0_1,1543942690.28637,finish,0,
mr-0xc11,1543942552,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e2_0_0,1543942690.30501,start,,
mr-0xc11,1543942552,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e2_0_0,1543942699.02418,finish,1,
mr-0xc11,1543942552,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e1_0_0,1543942699.03744,start,,
mr-0xc11,1543942552,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e1_0_0,1543942721.07188,finish,1,
mr-0xc11,1543942552,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_2e0_0_0,1543942721.08537,start,,
mr-0xc11,1543942552,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_2e0_0_0,1543942768.36741,finish,1,
mr-0xc11,1543942552,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e2_0_1,1543942768.38491,start,,
mr-0xc11,1543942552,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e2_0_1,1543942776.59503,finish,1,
